# Frequency(Hz) HVSR_Ratio
0.00000 43.95540
0.05000 41.82146
0.10000 0.21899
0.15000 0.03227
0.20000 0.01161
0.25000 0.01008
0.30000 0.01734
0.35000 0.03008
0.40000 0.06281
0.45000 0.08680
0.50000 0.10160
0.55000 0.12332
0.60000 0.14322
0.65000 0.19738
0.70000 0.29333
0.75000 0.41958
0.80000 0.61888
0.85000 0.93442
0.90000 1.30073
0.95000 1.62083
1.00000 1.96018
1.05000 2.51797
1.10000 3.36754
1.15000 4.44342
1.20000 5.79078
1.25000 7.55661
1.30000 9.92474
1.35000 13.23911
1.40000 17.62326
1.45000 22.22182
1.50000 25.67062
1.55000 27.71317
1.60000 29.71791
1.65000 33.46958
1.70000 39.72632
1.75000 47.48996
1.80000 54.17748
1.85000 56.97076
1.90000 54.76412
1.95000 48.99071
2.00000 42.43486
2.05000 37.21658
2.10000 33.78766
2.15000 31.43413
2.20000 29.32992
2.25000 27.10360
2.30000 24.74136
2.35000 22.28084
2.40000 19.69052
2.45000 16.95407
2.50000 14.17075
2.55000 11.54448
2.60000 9.28493
2.65000 7.51351
2.70000 6.23422
2.75000 5.36542
2.80000 4.79355
2.85000 4.41486
2.90000 4.15298
2.95000 3.95790
3.00000 3.79729
3.05000 3.64840
3.10000 3.49398
3.15000 3.32181
3.20000 3.12584
3.25000 2.90720
3.30000 2.67343
3.35000 2.43618
3.40000 2.20793
3.45000 1.99878
3.50000 1.81463
3.55000 1.65669
3.60000 1.52246
3.65000 1.40734
3.70000 1.30624
3.75000 1.21477
3.80000 1.12982
3.85000 1.04962
3.90000 0.97355
3.95000 0.90183
4.00000 0.83524
4.05000 0.77488
4.10000 0.72205
4.15000 0.67803
4.20000 0.64392
4.25000 0.62052
4.30000 0.60815
4.35000 0.60661
4.40000 0.61516
4.45000 0.63259
4.50000 0.65729
4.55000 0.68745
4.60000 0.72117
4.65000 0.75667
4.70000 0.79236
4.75000 0.82698
4.80000 0.85966
4.85000 0.88991
4.90000 0.91763
4.95000 0.94301
5.00000 0.96649
5.05000 0.98866
5.10000 1.01015
5.15000 1.03160
5.20000 1.05354
5.25000 1.07640
5.30000 1.10042
5.35000 1.12570
5.40000 1.15213
5.45000 1.17945
5.50000 1.20729
5.55000 1.23514
5.60000 1.26247
5.65000 1.28874
5.70000 1.31341
5.75000 1.33605
5.80000 1.35633
5.85000 1.37403
5.90000 1.38906
5.95000 1.40147
6.00000 1.41144
6.05000 1.41923
6.10000 1.42520
6.15000 1.42976
6.20000 1.43337
6.25000 1.43649
6.30000 1.43958
6.35000 1.44305
6.40000 1.44727
6.45000 1.45254
6.50000 1.45906
6.55000 1.46695
6.60000 1.47625
6.65000 1.48690
6.70000 1.49880
6.75000 1.51179
6.80000 1.52567
6.85000 1.54026
6.90000 1.55537
6.95000 1.57082
7.00000 1.58645
7.05000 1.60214
7.10000 1.61773
7.15000 1.63311
7.20000 1.64813
7.25000 1.66267
7.30000 1.67658
7.35000 1.68975
7.40000 1.70208
7.45000 1.71352
7.50000 1.72408
7.55000 1.73386
7.60000 1.74302
7.65000 1.75181
7.70000 1.76055
7.75000 1.76965
7.80000 1.77951
7.85000 1.79062
7.90000 1.80347
7.95000 1.81856
8.00000 1.83648
8.05000 1.85787
8.10000 1.88352
8.15000 1.91437
8.20000 1.95164
8.25000 1.99684
8.30000 2.05181
8.35000 2.11876
8.40000 2.20026
8.45000 2.29918
8.50000 2.41859
8.55000 2.56164
8.60000 2.73140
8.65000 2.93064
8.70000 3.16162
8.75000 3.42587
8.80000 3.72396
8.85000 4.05532
8.90000 4.41810
8.95000 4.80906
9.00000 5.22355
9.05000 5.65557
9.10000 6.09783
9.15000 6.54202
9.20000 6.97897
9.25000 7.39901
9.30000 7.79230
9.35000 8.14917
9.40000 8.46047
9.45000 8.71796
9.50000 8.91459
9.55000 9.04475
9.60000 9.10451
9.65000 9.09172
9.70000 9.00611
9.75000 8.84922
9.80000 8.62436
9.85000 8.33645
9.90000 7.99180
9.95000 7.59787
